name	multiverseId
Unstable Mutation	941
Kird Ape	962
Rukh Egg	965
Rukh Egg	966
Aladdin's Ring	901
Dancing Scimitar	905
Flying Carpet	907
City of Brass	985
Desert	986
Moorish Cavalry	976
Circle of Protection: Artifacts	1067
Hurkyl's Recall	1041
Sage of Lat-Nam	1046
Yawgmoth Demon	1049
Atog	1058
Detonate	1059
Shatterstorm	1063
Colossus of Sardia	1002
Feldon's Cane	1006
Millstone	1012
Ornithopter	1016
Primal Clay	1017
The Rack	1028
Triskelion	1029
Wall of Spears	1033
Yotian Soldier	1035
Urza's Mine	1081
Urza's Mine	1083
Urza's Mine	1082
Urza's Mine	1080
Urza's Power Plant	1087
Urza's Power Plant	1084
Urza's Power Plant	1086
Urza's Power Plant	1085
Urza's Tower	1090
Urza's Tower	1088
Urza's Tower	1089
Urza's Tower	1091
Angel of Glory's Rise	239993
Angel of Jubilation	240120
Avacyn, Angel of Hope	239961
Banishing Stroke	240156
Builder's Blessing	239990
Call to Serve	240081
Cathars' Crusade	276198
Cathedral Sanctifier	240136
Cloudshift	240006
Commander's Authority	278252
Cursebreak	240124
Defang	240087
Defy Death	239977
Devout Chaplain	276195
Divine Deflection	240072
Emancipation Angel	239980
Entreat the Angels	247426
Farbog Explorer	240108
Goldnight Commander	240029
Goldnight Redeemer	239998
Herald of War	240161
Holy Justiciar	240025
Leap of Faith	240023
Midnight Duelist	239994
Midvast Protector	278066
Moonlight Geist	278059
Moorland Inquisitor	262849
Nearheath Pilgrim	240132
Restoration Angel	240096
Riders of Gavony	240015
Righteous Blow	240185
Seraph of Dawn	240078
Silverblade Paladin	240155
Spectral Gateguards	240038
Terminus	262703
Thraben Valiant	240099
Voice of the Provinces	240173
Zealous Strike	240019
Alchemist's Apprentice	240031
Amass the Components	270988
Arcane Melee	270993
Captain of the Mists	275713
Crippling Chill	240042
Deadeye Navigator	240022
Devastation Tide	275720
Dreadwaters	240008
Elgaud Shieldmate	239968
Favorable Winds	240131
Fettergeist	240080
Galvanic Alchemist	240211
Geist Snatch	240021
Ghostform	240003
Ghostly Flicker	240101
Ghostly Touch	278260
Gryff Vanguard	239982
Havengul Skaab	240094
Infinite Reflection	271117
Into the Void	278064
Latch Seeker	240005
Lone Revenant	275706
Lunar Mystic	275717
Mass Appeal	240095
Mist Raven	271121
Misthollow Griffin	276504
Nephalia Smuggler	240159
Outwit	240050
Rotcrown Ghoul	240058
Scrapskin Drake	240035
Second Guess	240063
Spectral Prison	239967
Spirit Away	239986
Stern Mentor	240069
Stolen Goods	275718
Tamiyo, the Moon Sage	240070
Tandem Lookout	240203
Temporal Mastery	240133
Vanishment	240130
Wingcrafter	239979
Appetite for Brains	279612
Blood Artist	240178
Bloodflow Connoisseur	240196
Butcher Ghoul	271115
Corpse Traders	239971
Dark Impostor	240153
Death Wind	240207
Demonic Rising	278060
